job_title,job_date,comp_name,comp_type,comp_size,eco_activity,region,contract,job_post_id,exper,gender,job_date_gregorian,salary,benefits_extracted,experience_categories
محاسب,27/05/1444,شركة مقر العالم للسفريات,خاص,متوسطة فئة أ,أنشطة وكالات السياحة والسفر,الرياض,دوام كامل,20202026350419,0,ذكور وإناث,2022-12-21 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
بائع,27/05/1444,شركة عالم الكهرباء للمقاولات,خاص,متوسطة فئة ب,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها,المنطقة الشرقية,دوام كامل,20202026350389,0,ذكور وإناث,2022-12-21 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
أخصائي عمليات موارد بشرية,27/05/1444,شركه دار السلام,خاص,متوسطة فئة أ,ترميمات المباني السكنية والغير سكنية,الرياض,دوام كامل,20202026350347,2,ذكور وإناث,2022-12-21 00:00:00,4000.0,لا يوجد بدلات,ذوي خبرة
ميكانيكي سيارات,27/05/1444,مؤسسة لمكو لغيار الزيوت,خاص,صغيرة فئة ب,غير معروف,المنطقة الشرقية,دوام كامل,20202026350219,0,ذكور,2022-12-21 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
محاسب,27/05/1444,مؤسسة فكرة اليمامة للمقاولات,خاص,كبيرة,الإنشاءات العامة للمباني السكنية,الرياض,دوام كامل,20202026350043,0,ذكور وإناث,2022-12-21 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
مراقب كاميرات أمنية,27/05/1444,مطاعم تراث الدمشقية للوجبات السريعة,خاص,صغيرة فئة ب,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),الرياض,عمل عن بعد,20202026350031,0,ذكور وإناث,2022-12-21 00:00:00,4500.0,لا يوجد بدلات,خريجون جدد
سكرتير تنفيذي,27/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,الرياض,دوام كامل,20202026349999,4,إناث,2022-12-21 00:00:00,6000.0,لا يوجد بدلات,ذوي خبرة
مدير مكتب,27/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,الرياض,دوام كامل,20202026349997,4,إناث,2022-12-21 00:00:00,8000.0,لا يوجد بدلات,ذوي خبرة
أخصائي إدارة مشاريع,27/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,الرياض,دوام كامل,20202026349992,2,إناث,2022-12-21 00:00:00,10000.0,لا يوجد بدلات,ذوي خبرة
مصمم جرافيك,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,الرياض,دوام كامل,20202026349583,4,إناث,2022-12-20 00:00:00,5000.0,لا يوجد بدلات,ذوي خبرة
أخصائي ذكاء أعمال,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,الرياض,دوام كامل,20202026349578,0,ذكور وإناث,2022-12-20 00:00:00,7200.0,يوجد بدلات,خريجون جدد
بائع,26/05/1444,شركة بيت قطن للتجارة شركة شخص واحد,خاص,متوسطة فئة أ,البيع بالجملة للملابس الرياضية,المنطقة الشرقية,دوام كامل,20202026349573,0,ذكور وإناث,2022-12-20 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
محلل بيانات,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,الرياض,دوام كامل,20202026349572,0,ذكور وإناث,2022-12-20 00:00:00,7200.0,يوجد بدلات,خريجون جدد
مدير حساب عميل,26/05/1444,مؤسسة عبر السوق لتقنية المعلومات,خاص,صغيرة فئة أ,تقديم خدمات تسويقية نيابةً عن الغير,مكة المكرمة,دوام كامل,20202026349523,2,إناث,2022-12-20 00:00:00,6000.0,لا يوجد بدلات,ذوي خبرة
مصمم جرافيك,26/05/1444,مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,حائل,دوام كامل,20202026349504,4,ذكور,2022-12-20 00:00:00,7000.0,لا يوجد بدلات,ذوي خبرة
مدخل بيانات,26/05/1444,مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,حائل,دوام كامل,20202026349475,2,ذكور,2022-12-20 00:00:00,3000.0,لا يوجد بدلات,ذوي خبرة
مطور برامج,26/05/1444,مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,حائل,دوام كامل,20202026349439,4,ذكور,2022-12-20 00:00:00,9000.0,لا يوجد بدلات,ذوي خبرة
أخصائي إدارة اداء,26/05/1444,مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,حائل,دوام كامل,20202026349417,10,ذكور,2022-12-20 00:00:00,12000.0,لا يوجد بدلات,ذوي خبرة
مدخل بيانات,26/05/1444,شركة إرتقاء المتحدة لاجهزة السلامة,خاص,صغيرة فئة أ,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,مكة المكرمة,دوام كامل,20202026349390,2,إناث,2022-12-20 00:00:00,4000.0,لا يوجد بدلات,ذوي خبرة
كيميائي,26/05/1444,شركة الغدير الدوليه للتسويق,خاص,صغيرة فئة أ,البيع بالجملة للمواد الكيميائية,مكة المكرمة,دوام كامل,20202026349224,0,إناث,2022-12-20 00:00:00,5500.0,لا يوجد بدلات,خريجون جدد
محاسب,26/05/1444,شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,خاص,متوسطة فئة ب,أنشطة الاستشارات الهندسية والمعمارية,الرياض,دوام كامل,20202026349216,0,إناث,2022-12-20 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
مهندس زراعي,26/05/1444,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,عملاقة,خدمات جمع النفايات البلدية,مكة المكرمة,دوام كامل,20202026348990,2,ذكور,2022-12-20 00:00:00,8400.0,لا يوجد بدلات,ذوي خبرة
محاسب,26/05/1444,شركة خدمات للوقود,خاص,صغيرة فئة ب,البيع بالتجزئة لمعدات محطات الوقود وقطع غيارها وتشمل (مضخات الوقود),الرياض,دوام كامل,20202026348866,2,إناث,2022-12-20 00:00:00,4000.0,يوجد بدلات,ذوي خبرة
محلل نظم المعلومات,26/05/1444,شركة الذهبيه الهندسيه للمقاولات (شركة شخص واحد),خاص,متوسطة فئة ج,إنشاء وإقامة محطات وأبراج الاتصالات السلكية واللاسلكية والرادار,الرياض,دوام كامل,20202026348692,2,ذكور وإناث,2022-12-20 00:00:00,4000.0,يوجد بدلات,ذوي خبرة
محاسب,26/05/1444,مؤسسة سلاسل بابل للمقاولات,خاص,صغيرة فئة ب,ترميمات المباني السكنية والغير سكنية,مكة المكرمة,دوام كامل,20202026348685,0,إناث,2022-12-20 00:00:00,4000.0,يوجد بدلات,خريجون جدد
مدير عام,26/05/1444,ورشة اضواء المشاعل للحدادة والالمنيوم,خاص,صغيرة فئة أ,غير معروف,المدينة المنورة,دوام كامل,20202026348601,0,ذكور,2022-12-20 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
مساعد إداري,26/05/1444,مؤسسة اتجاهات النجاح للمقاولات,خاص,صغيرة فئة ب,الإنشاءات العامة للمباني السكنية,الرياض,دوام كامل,20202026348520,0,إناث,2022-12-20 00:00:00,4000.0,يوجد بدلات,خريجون جدد
كاتب علاقات حكومية,26/05/1444,شركة عبدالرؤف عبدالوهاب العيد للاستشارات المهنية,خاص,صغيرة فئة أ,أنشطة المكاتب الرئيسة,الرياض,دوام كامل,20202026348212,2,إناث,2022-12-20 00:00:00,6000.0,لا يوجد بدلات,ذوي خبرة
سكرتير تنفيذي,26/05/1444,شركة كاف الرقمية للدعاية والاعلان,خاص,صغيرة فئة أ,تقديم خدمات تسويقية نيابةً عن الغير,الرياض,دوام كامل,20202026348193,4,ذكور,2022-12-20 00:00:00,4500.0,لا يوجد بدلات,ذوي خبرة
مندوب مبيعات,26/05/1444,شركة صندوق الرقمي للاتصالات و تقنية المعلومات,خاص,صغيرة فئة ب,أنشطة الخدمات الإدارية المتكاملة للمكاتب,الرياض,دوام كامل,20202026348186,0,ذكور وإناث,2022-12-20 00:00:00,5500.0,لا يوجد بدلات,خريجون جدد
مساعد إداري,25/05/1444,مركز شذى محمد بن حمد الكثيري ضيافة الأطفال الأهلية,خاص,صغيرة فئة ب,مراكز ضيافة الأطفال الأهلية,الرياض,دوام كامل,20202026348103,2,إناث,2022-12-19 00:00:00,4000.0,يوجد بدلات,ذوي خبرة
معلم حضانة,25/05/1444,مركز شذى محمد بن حمد الكثيري ضيافة الأطفال الأهلية,خاص,صغيرة فئة ب,مراكز ضيافة الأطفال الأهلية,الرياض,دوام كامل,20202026348099,0,إناث,2022-12-19 00:00:00,3200.0,يوجد بدلات,خريجون جدد
فني كيميائي,25/05/1444,مصنع الاعشاب الشرقية للصناعة,خاص,صغيرة فئة أ,خلط وتعبئة العطور والزيوت والنباتات,المنطقة الشرقية,دوام كامل,20202026348009,4,ذكور,2022-12-19 00:00:00,5000.0,يوجد بدلات,ذوي خبرة
مهندس كهربائي,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),المدينة المنورة,دوام كامل,20202026347930,4,ذكور,2022-12-19 00:00:00,7000.0,لا يوجد بدلات,ذوي خبرة
مهندس ميكانيكي,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),المدينة المنورة,دوام كامل,20202026347926,4,ذكور,2022-12-19 00:00:00,7000.0,لا يوجد بدلات,ذوي خبرة
مدير إداري,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),المدينة المنورة,دوام كامل,20202026347921,4,ذكور,2022-12-19 00:00:00,7000.0,لا يوجد بدلات,ذوي خبرة
فني هندسة ميكانيكية,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),المدينة المنورة,دوام كامل,20202026347913,0,ذكور,2022-12-19 00:00:00,4500.0,لا يوجد بدلات,خريجون جدد
فني هندسة كهربائية,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),المدينة المنورة,دوام كامل,20202026347910,0,ذكور,2022-12-19 00:00:00,4500.0,لا يوجد بدلات,خريجون جدد
مدخل بيانات,25/05/1444,مؤسسة سلطان عبدالله صويلح المطيرى للمقاولات,خاص,صغيرة فئة ب,إصلاح وصيانة المحطات والشبكات والخطوط الرئيسية لتوزيع المياه,المدينة المنورة,دوام كامل,20202026347907,0,ذكور,2022-12-19 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
محاسب,25/05/1444,حلاق ديوان الدانه للحلاقة,خاص,صغيرة فئة أ,الصالونات الرجالية,المنطقة الشرقية,دوام كامل,20202026347726,2,ذكور وإناث,2022-12-19 00:00:00,4500.0,لا يوجد بدلات,ذوي خبرة
مدير فرع,25/05/1444,شركة الزي للتجارة,خاص,متوسطة فئة أ,غير معروف,المنطقة الشرقية,دوام كامل,20202026347650,2,ذكور وإناث,2022-12-19 00:00:00,4500.0,يوجد بدلات,ذوي خبرة
بائع,25/05/1444,مجمع الرائعه الاقتصاديه التجاري,خاص,صغيرة فئة أ,مجمعات تجارية استهلاكية,الباحة,دوام كامل,20202026347521,0,إناث,2022-12-19 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
موظف استقبال فندق,25/05/1444,فندق قصر الواحة الفندقية,خاص,صغيرة فئة ب,غير معروف,الرياض,دوام كامل,20202026347394,2,ذكور وإناث,2022-12-19 00:00:00,4500.0,يوجد بدلات,ذوي خبرة
مندوب مبيعات,25/05/1444,شركـة مجموعة المساع المحدودة,خاص,صغيرة فئة أ,البيع بالتجزئة للمولدات الكهربائية ولوازمها,مكة المكرمة,دوام كامل,20202026347260,2,ذكور وإناث,2022-12-19 00:00:00,5000.0,لا يوجد بدلات,ذوي خبرة
أخصائي تسويق,25/05/1444,شركة مصدر الحياة للصناعات الغذائية,خاص,كبيرة,صناعة الخبز ومنتجاته بواسطة المخابز الآلية,الرياض,دوام كامل,20202026347254,0,ذكور وإناث,2022-12-19 00:00:00,5500.0,لا يوجد بدلات,خريجون جدد
كاتب استعلامات مركز خدمة عملاء,25/05/1444,شركة الرهدن,خاص,كبيرة,غسل وكي والتنظيف الجاف لشتى أنواع الملابس بما فيها الفراء والمنسوجات وتشمل جمع وتوزيع الغسيل,المنطقة الشرقية,دوام كامل,20202026346949,0,ذكور وإناث,2022-12-19 00:00:00,4500.0,يوجد بدلات,خريجون جدد
بائع,25/05/1444,شركة متاجر رمانة التجارية,خاص,متوسطة فئة أ,بيع المشروبات بالتجزئة في المتاجر المتخصصة,الرياض,دوام كامل,20202026346948,0,ذكور,2022-12-19 00:00:00,4500.0,لا يوجد بدلات,خريجون جدد
بائع,25/05/1444,شركة مطعم بيت الشاورما لتقديم الوجبات,خاص,متوسطة فئة ج,غير معروف,الرياض,دوام كامل,20202026346891,0,ذكور,2022-12-19 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
بائع,25/05/1444,شركة أطياب غناتي التجارية,خاص,صغيرة فئة ب,غير معروف,الرياض,دوام كامل,20202026346879,2,إناث,2022-12-19 00:00:00,4000.0,لا يوجد بدلات,ذوي خبرة
أخصائي عمليات موارد بشرية,25/05/1444,شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,خاص,متوسطة فئة ب,غير معروف,الرياض,دوام كامل,20202026346827,0,إناث,2022-12-19 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
أخصائي خدمة عملاء,25/05/1444,شركة بروج للكابلات,خاص,صغيرة فئة أ,غير معروف,الرياض,دوام كامل,20202026346794,2,ذكور وإناث,2022-12-19 00:00:00,6000.0,لا يوجد بدلات,ذوي خبرة
بائع,25/05/1444,شركة المشروبات والاطعمة الغذائية,خاص,صغيرة فئة ب,غير معروف,الرياض,دوام كامل,20202026346708,0,ذكور وإناث,2022-12-19 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
أخصائي جودة,25/05/1444,شركة مصنع الجواد للبلاستيك والتغليف المرن,خاص,متوسطة فئة ج,غير معروف,المنطقة الشرقية,دوام كامل,20202026346669,0,ذكور وإناث,2022-12-19 00:00:00,4170.0,يوجد بدلات,خريجون جدد
معلم صفوف أولية,25/05/1444,مدارس  الأختيار الاول الاهلية,خاص,صغيرة فئة ب,غير معروف,الرياض,دوام كامل,20202026346650,0,إناث,2022-12-19 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
بائع,03/05/1444,شركة جبو رية للحلويات,خاص,متوسطة فئة ب,غير معروف,الرياض,دوام كامل,20202026310987,0,ذكور,2022-11-27 00:00:00,4500.0,يوجد بدلات,خريجون جدد
مساعد طب بيطري,03/05/1444,شركة مجموعة زيد الحسين واخوانة للمقاولات,خاص,عملاقة,رعاية وصيانة المنتزهات والحدائق لأغراض الإسكان العام,الرياض,دوام كامل,20202026310906,0,ذكور وإناث,2022-11-27 00:00:00,5500.0,لا يوجد بدلات,خريجون جدد
محاسب,03/05/1444,مؤسسة فراج فهد بن فراج المخاريم الدوسري للمقاولات,خاص,صغيرة فئة أ,الإنشاءات العامة للمباني السكنية,الرياض,دوام كامل,20202026310835,0,إناث,2022-11-27 00:00:00,6000.0,لا يوجد بدلات,خريجون جدد
صيدلي,02/05/1444,شركة مجمع الرحمة الطبي,خاص,متوسطة فئة أ,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,الرياض,دوام كامل,20202026310734,2,إناث,2022-11-26 00:00:00,4000.0,لا يوجد بدلات,ذوي خبرة
مهندس معماري داخلي,01/05/1444,شركة رتاج المسكن المحدودة (شركة شخص واحد),خاص,صغيرة فئة أ,أعمال وتركيب الديكورات المختلفة,الرياض,دوام كامل,20202026310544,0,ذكور وإناث,2022-11-25 00:00:00,4000.0,يوجد بدلات,خريجون جدد
مهندس معماري,01/05/1444,شركة بوابة الفرسان للتصميم,خاص,صغيرة فئة ب,أنشطة تصميم الديكورات الداخلية,الرياض,دوام كامل,20202026310520,0,إناث,2022-11-25 00:00:00,4500.0,يوجد بدلات,خريجون جدد
بائع مأكولات ومشروبات,30/04/1444,مقهى الفصل الخامس لتقديم المشروبات,خاص,صغيرة فئة ب,بيع الأغذية والمشروبات بالتجزئة في الأكشاك والأسواق,عسير,دوام كامل,20202026310433,0,ذكور,2022-11-24 00:00:00,4500.0,لا يوجد بدلات,خريجون جدد
خطاط,30/04/1444,مؤسسة دكان مخمل التجارية,خاص,صغيرة فئة ب,البيع بالتجزئة للزهور والورود,القصيم,دوام كامل,20202026310422,0,ذكور وإناث,2022-11-24 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
منسق زهور,30/04/1444,مؤسسة دكان مخمل التجارية,خاص,صغيرة فئة ب,البيع بالتجزئة للزهور والورود,القصيم,دوام كامل,20202026310421,0,ذكور وإناث,2022-11-24 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
مدير فرع,30/04/1444,شركة ماس الدولية للمقاولات شركة شخص واحد,خاص,متوسطة فئة أ,إنشاء الطرق والشوارع والارصفة ومستلزمات الطرق,الرياض,دوام كامل,20202026310157,2,ذكور,2022-11-24 00:00:00,5500.0,لا يوجد بدلات,ذوي خبرة
أخصائي تطوير إداري,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,الرياض,دوام كامل,20202026310012,0,ذكور وإناث,2022-11-24 00:00:00,4000.0,يوجد بدلات,خريجون جدد
مدير تسويق,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,الرياض,دوام كامل,20202026310005,0,ذكور وإناث,2022-11-24 00:00:00,4000.0,يوجد بدلات,خريجون جدد
مدير خدمة العملاء,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,الرياض,دوام كامل,20202026310000,2,ذكور وإناث,2022-11-24 00:00:00,4000.0,يوجد بدلات,ذوي خبرة
أخصائي تسويق,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,الرياض,دوام كامل,20202026309966,0,ذكور وإناث,2022-11-24 00:00:00,4000.0,يوجد بدلات,خريجون جدد
مندوب مشتريات,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,الرياض,دوام كامل,20202026309959,0,ذكور وإناث,2022-11-24 00:00:00,4000.0,يوجد بدلات,خريجون جدد
مندوب مبيعات,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,الرياض,دوام كامل,20202026309950,0,ذكور وإناث,2022-11-24 00:00:00,4000.0,يوجد بدلات,خريجون جدد
أخصائي خدمة عملاء,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,الرياض,دوام كامل,20202026309946,0,ذكور وإناث,2022-11-24 00:00:00,4000.0,يوجد بدلات,خريجون جدد
فني تدفئة وتهوية وتكييف,30/04/1444,مؤسسة مرميس للمقاولات,خاص,صغيرة فئة ب,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها,الرياض,دوام كامل,20202026309926,0,ذكور,2022-11-24 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
مهندس ميكانيكي,30/04/1444,شركة زهرة الصحراء للخدمات اللوجستية,خاص,صغيرة فئة أ,الخدمات اللوجستية,الرياض,دوام كامل,20202026309676,0,ذكور,2022-11-24 00:00:00,7000.0,لا يوجد بدلات,خريجون جدد
مدير رقابة ادارية,29/04/1444,محل عبدالرحمن عوظه عبدالله الشهراني التجارية,خاص,صغيرة فئة أ,البيع بالتجزئة للفواكه والخضروات الطازجة والمحفوظة,عسير,دوام كامل,20202026309551,0,ذكور,2022-11-23 00:00:00,6000.0,لا يوجد بدلات,خريجون جدد
موظف صندوق محاسبة,29/04/1444,مركز مناهل ديرتي لتجارة الجملة و التجزئة,خاص,صغيرة فئة ب,البيع بالتجزئة للفواكه والخضروات الطازجة والمحفوظة,مكة المكرمة,دوام كامل,20202026309496,0,ذكور,2022-11-23 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
موظف صندوق محاسبة,29/04/1444,شركة الوصفات المختلفة التجارية,خاص,صغيرة فئة ب,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),الرياض,دوام كامل,20202026309318,0,ذكور وإناث,2022-11-23 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
مدير تسويق,28/04/1444,مؤسسة خالد فيحان نايف النفيعي العقاري,خاص,صغيرة فئة أ,أنشطة إدارة العقارات مقابل عمولة,مكة المكرمة,دوام كامل,20202026309160,0,إناث,2022-11-22 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
صيدلي,28/04/1444,شركة نيرا الطبية,خاص,صغيرة فئة ب,أنشطة إدارة العقارات مقابل عمولة,الرياض,دوام كامل,20202026299094,0,ذكور وإناث,2022-11-22 00:00:00,7000.0,لا يوجد بدلات,خريجون جدد
مدير تدريب,28/04/1444,شركة حلال العالمي للتدريب,خاص,صغيرة فئة أ,أنشطة إدارة العقارات مقابل عمولة,الرياض,دوام كامل,20202026298850,0,ذكور,2022-11-22 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
مدير حساب عميل,28/04/1444,مؤسسة دعائم التقنية للحاسب الالي,خاص,صغيرة فئة ب,أنشطة إدارة العقارات مقابل عمولة,الرياض,دوام كامل,20202026298840,0,إناث,2022-11-22 00:00:00,5500.0,يوجد بدلات,خريجون جدد
حارس أمن,28/04/1444,شركة شبلا للحراسات الامنية شركة شخص واحد,خاص,كبيرة,الحراسة الأمنية المدنية الخاصة,الرياض,دوام كامل,20202026298810,0,ذكور,2022-11-22 00:00:00,3640.0,لا يوجد بدلات,خريجون جدد
طبيب أمراض جلدية,28/04/1444,شركة العلاج البديل الطبية,خاص,صغيرة فئة ب,مراكز الطب البديل والتكميلي,مكة المكرمة,دوام كامل,20202026298757,4,ذكور وإناث,2022-11-22 00:00:00,8000.0,يوجد بدلات,ذوي خبرة
أخصائي تسويق,28/04/1444,مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,خاص,صغيرة فئة ب,المطاعم مع الخدمة,مكة المكرمة,دوام كامل,20202026298629,7,ذكور وإناث,2022-11-22 00:00:00,8000.0,لا يوجد بدلات,ذوي خبرة
نادل,28/04/1444,مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,خاص,صغيرة فئة ب,المطاعم مع الخدمة,مكة المكرمة,دوام كامل,20202026298579,0,ذكور وإناث,2022-11-22 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
موظف صندوق محاسبة,28/04/1444,مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,خاص,صغيرة فئة ب,المطاعم مع الخدمة,مكة المكرمة,دوام كامل,20202026298550,0,ذكور وإناث,2022-11-22 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
كاتب موارد بشرية,28/04/1444,شركة القدرات الوطنية للخدمات التجارية,خاص,متوسطة فئة أ,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),المنطقة الشرقية,دوام كامل,20202026298502,0,إناث,2022-11-22 00:00:00,5000.0,لا يوجد بدلات,خريجون جدد
معلم ثانوي أحياء,28/04/1444,شركه الرشد التعليميه المحدوده,خاص,متوسطة فئة ب,التعليم الابتدائي للطلاب بمنهج وطني,الرياض,دوام كامل,20202026298458,2,ذكور,2022-11-22 00:00:00,4000.0,لا يوجد بدلات,ذوي خبرة
معلم ثانوي لغة عربية,28/04/1444,مدرسة جده العالميه لتعليم المنهج الامريكي فرع شركة الفراس ال,خاص,متوسطة فئة ب,التعليم الابتدائي المختلط، يشمل مدارس الجاليات,مكة المكرمة,دوام كامل,20202026298451,0,ذكور,2022-11-22 00:00:00,5500.0,لا يوجد بدلات,خريجون جدد
مساعد إداري,28/04/1444,فوال طيبات خلوفه لتقديم الوجبات,خاص,متوسطة فئة ج,محلات تقديم وجبات الفول و الحمص و الكبدة والبليلة والبازلاء و المطبق وما شابهها,مكة المكرمة,دوام كامل,20202026298299,0,ذكور,2022-11-22 00:00:00,4000.0,لا يوجد بدلات,خريجون جدد
أخصائي تسويق,27/04/1444,شركة ايرادات للخدمات العقارية,خاص,صغيرة فئة أ,أنشطة إدارة العقارات مقابل عمولة,الرياض,دوام كامل,20202026298023,2,ذكور,2022-11-21 00:00:00,7000.0,لا يوجد بدلات,ذوي خبرة
أخصائي عمليات موارد بشرية,27/04/1444,شركة أمان التنمية المحدودة,خاص,صغيرة فئة ب,إدارة وتأجير المخازن ذاتية التخزين,عسير,دوام كامل,20202026297872,2,ذكور وإناث,2022-11-21 00:00:00,4000.0,لا يوجد بدلات,ذوي خبرة
محاسب,27/04/1444,شركة دهونت ثيرمال سالوشانز للصناعة المحدودة,خاص,متوسطة فئة أ,صناعة حديد الزهر ما في ذلك مسبوكات حديد الصلب والزهر,المنطقة الشرقية,دوام كامل,20202026297715,2,ذكور,2022-11-21 00:00:00,5250.0,يوجد بدلات,ذوي خبرة
أخصائي تسويق,27/04/1444,شركة علي ناصر النصار وشركاه,خاص,متوسطة فئة ب,البيع بالجملة لقطع غيار معدات وآلات البناء,المنطقة الشرقية,دوام كامل,20202026297610,2,ذكور وإناث,2022-11-21 00:00:00,5000.0,يوجد بدلات,ذوي خبرة
بائع مأكولات ومشروبات,27/04/1444,شركة شاورما وصوص للوجبات السريعة شركة شخص واحد,خاص,متوسطة فئة أ,محلات الوجبات السريعة ( تشمل محلات البيتزاء ),مكة المكرمة,دوام كامل,20202026297558,0,ذكور وإناث,2022-11-21 00:00:00,4000.0,يوجد بدلات,خريجون جدد
مهندس ميكانيكي,27/04/1444,شركة الصخور العربية للصناعة,خاص,صغيرة فئة ب,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,الرياض,دوام كامل,20202026287302,0,ذكور,2022-11-21 00:00:00,7000.0,يوجد بدلات,خريجون جدد
مهندس مدني,27/04/1444,شركة الصخور العربية للصناعة,خاص,صغيرة فئة ب,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,الرياض,دوام كامل,20202026287296,0,ذكور,2022-11-21 00:00:00,7000.0,لا يوجد بدلات,خريجون جدد
